Id,Title,URL,Short Intro,Category,Sub-Category,Course Type,Language,Skills,Instructors,Rating,Number of viewers,Duration,Site
345,European Business Law  Specialization,https://www.coursera.org/specializations/european-business-law,Launch your career in Europe. Master the essentials in European Business Law.,Social Sciences,Law,Specialization,English,"Compete on the Internal Market, Legal Research, Law, Business Law, Foreign Policy, ","Hans Henrik Lidgard ,Xavier Groussot ,Julian Nowag ,Anna Wiberg ,Eduardo Gill Pedro ,Angelica Ericsson ,Magnus Schmauch ,Annegret Engel ,Mia Rönnmar  ,Cécile Brokelind ,Sanja Bogojevic ,Michael Bogdan ,Niklas Arvidsson ,Jörgen Hettne ,Justin Pierce ,Ulf Maunsbach ,",4.9,279 ,Approximately 5 months to complete,Coursera
1364,Human Factors in AI,https://www.coursera.org/learn/human-factors-in-artificial-intelligence?specialization=ai-product-management-duke,"This third and final course of the AI Product Management Specialization by Duke University's Pratt School of Engineering focuses on the critical human factors in developing AI-based products.  The course begins with an introduction to human-centered design and the unique elements of user experience design for AI products.  Participants will then learn about the role of data privacy in AI systems, the challenges of designing ethical AI, and approaches to identify sources of bias and mitigate fairness issues.  The course concludes with a comparison of human intelligence and artificial intelligence, and a discussion of the ways that AI can be used to both automate as well as assist human decision-making.",Data Science,Machine Learning,Course,English,"Machine Learning,Privacy,Design Thinking,Ethics,",Jon Reifschneider,4.9,24 ,Approx. 17 hours to complete,Coursera
726,Build Wireframes and Low-Fidelity Prototypes,https://www.coursera.org/learn/wireframes-low-fidelity-prototypes,"Build Wireframes and Low-Fidelity Prototypes is the third course in a certificate program that will equip you with the skills you need to apply to entry-level jobs in user experience (UX) design. In this course, you’ll continue to design a mobile app for your professional UX portfolio. You’ll start by creating storyboards and getting familiar with the basics of drawing. Then, you'll create paper wireframes and digital wireframes using the design tool Figma. You’ll also create a paper prototype and a digital low-fidelity prototype in Figma. ",Computer Science,Design and Product,Course,English,"User Experience (UX),UX Research,Wireframe,Prototype,User Experience Design (UXD),",Google Career Certificates,4.9,"6,275 ",Approx. 23 hours to complete,Coursera
930,Introduction to Agile Development and Scrum,https://www.coursera.org/learn/agile-development-and-scrum,"After successfully completing this course, you will be able to embrace the Agile concepts of adaptive planning, iterative development, and continuous improvement - resulting in early deliveries and value to customers. This course will benefit anyone who wants to get started with working the Agile way. It is particularly suitable for IT practitioners such as software developers, development managers, project managers, product managers, and executives.",Computer Science,Software Development,Course,English,"Agile Software Development,Scrum Methodology,Zenhub,Kanban,Sprint Planning,",John Rofrano,4.9,"1,019 ",Approx. 9 hours to complete,Coursera
727,First Step Korean,https://www.coursera.org/learn/learn-korean,"This is an elementary-level Korean language course, consisting of 5 lessons with 4 units, and covers 4 skills: reading, writing, listening and speaking. The main topics include basic expressions used in everyday life, such as greetings, introducing yourself, talking about your family and a daily life and so on. Each lesson covers dialogues, pronunciation, vocabulary, grammar, quizzes and role-plays. ",Language Learning,Other Languages,Course,English,"Grammar,Korean Language,Speech,Writing,",Seung Hae Kang,4.9,"46,904 ",Approx. 17 hours to complete,Coursera
2464,UiPath Orchestrator and Capstone Projects,https://www.coursera.org/learn/uipath-orchestrator-and-capstone-projects?specialization=roboticprocessautomation,"UiPath Orchestrator and Capstone Projects course will provide knowledge about Orchestrator and its capabilities. Further, the learning extends through understanding the Orchestrator user Interface, Contexts of Orchestrator and Assets and Queues in Orchestrator.",Computer Science,Software Development,Course,English,"Asset,UiPath Orchestrator,Orchestrator user interface,Queues,",UiPath,4.9,24 ,Approx. 6 hours to complete,Coursera
1778,Consulting Presentations and Storytelling,https://www.coursera.org/learn/management-consulting-presentations?specialization=managementconsulting,"This is the #5 course in the specialization on management consulting. In the previous 4 courses, we’ve learned how consultants break down problems with tools and logical thinking. Now, it’s time to bring all the parts together into consulting-quality presentations and deliverables. Every consulting project is different, and yet, the final presentation will have many of the same elements:",Business,Business Strategy,Course,English,"Management Consulting,Presentation,PowerPoint,Consulting,executive presence,",John Kim,4.9,37 ,Approx. 6 hours to complete,Coursera
1374,Effective Compliance Programs,https://www.coursera.org/learn/effective-compliance-programs?specialization=regulatory-compliance,"Once you have an understanding of what compliance is, and why it may be important, it is natural to wonder next, “What should I do about it?”  In this course, we’ll explore one of the key factors for creating a positive culture of compliance: human psychology. We’ll think about what drives us, what makes us pay attention, what distracts, and how all of these pieces help build a strong belief in an organizational culture of compliance. ",Business,Business Essentials,Course,English,"Management,Strategic Planning,Compliance,Organizational Behavior,",Lauren Steinfeld,4.9,604 ,Approx. 11 hours to complete,Coursera
1772,GIS Data Acquisition and Map Design,https://www.coursera.org/learn/gis-data-acquisition-map-design?specialization=gis-mapping-spatial-analysis,"In this course, you will learn how to find GIS data for your own projects, and how to create a well-designed map that effectively communicates your message. The first section focuses on the basic building blocks of GIS data, so that you know what types of GIS files exist, and the implications of choosing one type over another. Next, we'll discuss metadata (which is information about a data set) so you know how to evaluate a data set before you decide to use it, as well as preparing data by merging and clipping files as needed. We'll then talk about how to take non-GIS data, such as a list of addresses, and convert it into ""mappable"" data using geocoding. Finally, you'll learn about how to take data that you have found and design a map using cartographic principles. In the course project, you will find your own data and create your own quantitative map.",Physical Science and Engineering,Environmental Science and Sustainability,Course,English,"Geographic Information System (GIS),Cartography,Esri,Mapping,Spatial Analysis,",Don Boyes,4.9,609 ,Approx. 20 hours to complete,Coursera
1780,Music Business Foundations,https://www.coursera.org/learn/music-business-foundations?specialization=music-business,"This course has been developed to provide students with the latest instruction on the best way for creators, consumers, and facilitators to navigate the resurgence of one of the world’s most exciting industries: the music business. Three things are clear about today’s music industry: The consumption of music is expanding at the greatest rate in history and from the most portals ever imagined, the cost of producing music is decreasing, and the number of artists creating and seeking to expose their work and develop careers through the Internet has increased dramatically. Whether you’re a music creator, consumer, or facilitator of this process, you’ll want to understand the history, underpinnings, and basics of the music business. Course author John Kellogg—administrator, educator, entertainment lawyer, performer, and radio and television personality—offers students the opportunity to learn the fundamental principles of the developing new music business, for now and into the future.",Arts and Humanities,Music and Art,Course,English,"Music business,Revenue streams,Teambuilding,Copyright,Contracts,","John P. Kellogg, Esq.",4.9,"2,473 ",Approx. 12 hours to complete,Coursera
2773,Building Database Applications in PHP,https://www.coursera.org/learn/database-applications-php?specialization=web-applications,"In this course, we'll look at the object oriented patterns available in PHP. You'll learn how to connect to a MySQL using the Portable Data Objects (PDO) library and issue SQL commands in the the PHP language. We'll also look at how PHP uses cookies and manages session data. You'll learn how PHP avoids double posting data, how flash messages are implemented, and how to use a session to log in users in web applications. We'll then build the first 'complete' application that has multiple screens to Create, Read, Update and Delete (CRUD) our data. This brings all the previous concepts together and will form the basis for all later web applications.  It is assumed that learners have already taken the Building Web Applications course in this specialization.",Computer Science,Mobile and Web Development,Course,English,"Hypertext Preprocessor (PHP),Create, Read, Update And Delete,MySQL,",Charles Russell Severance,4.9,"1,031 ",Approx. 24 hours to complete,Coursera
158,Medical Terminology Specialization,https://www.coursera.org/specializations/medicalterminology,"Develop your skills in medical terminology. Identify word parts (prefixes, suffixes, and roots) and abbreviations commonly used in the medical field, read and understand health records, and identify terms associated with all 10 major organ systems.",Health,Basic Science,Specialization,English,"Communication, Medical language, Health records, human anatomy, ","Laura S. Kabiri ,",4.9,243 ,Approximately 3 months to complete,Coursera
730,Understanding the Brain: The Neurobiology of Everyday Life,https://www.coursera.org/learn/neurobiology,"Learn how the nervous system produces behavior, how we use our brain every day, and how neuroscience can explain the common problems afflicting people today. We will study functional human neuroanatomy and neuronal communication, and then use this information to understand how we perceive the outside world, move our bodies voluntarily, stay alive, and play well with others.",Health,Basic Science,Course,English,"Brain,Neurological Disorders,Neurobiology,Neurology,",Peggy Mason,4.9,"2,590 ",Approx. 27 hours to complete,Coursera
2775,Project Management: Control using the Earned Value and Risk,https://www.coursera.org/learn/control-and-replan-using-earned-value-and-risk?specialization=project-management-tools-approaches-skills,"Project Management is a fundamental theme to understand and work in any business environments. Once projects are properly planned, the job of a Project Manager is just started. Indeed, PMs need to properly control, re plan, and manage risks during the execution of the project. During the course, the Earned Value Management System – the standard and most diffused technique to properly manage time and cost in a project – is presented. In doing so, the concepts of BCWS (the time-phased budget), the BCWP (the earned value) and ACWP (the actual costs of what has been performed) are introduced along with the main indicators that help managers in taking decision on how to replan the projects according to the estimation at completion. Finally, the main approaches to identify and manage risks are introduced along with the closing phase.",Business,Leadership and Management,Course,English,"Planning,Cost Control,Project Risk Management,Earned Value Management (EVMT),Project Management,",Daniel Trabucchi,4.9,35 ,Approx. 1 hour to complete,Coursera
2655,"Teach English Now! Second Language Listening, Speaking, and Pronunciation",https://www.coursera.org/learn/tesol-speaking?specialization=tesol-certificate-2,"In this course, you will be introduced to some of the challenges of teaching and learning listening and speaking, such as paralinguistics, performance variables, reduced and regional forms, and differing types of oral discourse. Don't worry--you'll learn what those mean, too!  Then you'll learn how to ease the acquisition of listening and speaking for your students. The course also highlights the powerful opportunity to include pronunciation in listening and speaking classes and offers strategies to incorporate pronunciation activities.",Language Learning,Learning English,Course,English,"Teaching,English Language,Lesson Plan,Speech,",Jessica Cinco,4.9,"1,735 ",Approx. 19 hours to complete,Coursera
734,Medical Neuroscience,https://www.coursera.org/learn/medical-neuroscience,"Medical Neuroscience explores the functional organization and neurophysiology of the human central nervous system, while providing a neurobiological framework for understanding human behavior. In this course, you will discover the organization of the neural systems in the brain and spinal cord that mediate sensation, motivate bodily action, and integrate sensorimotor signals with memory, emotion and related faculties of cognition. The overall goal of this course is to provide the foundation for understanding the impairments of sensation, action and cognition that accompany injury, disease or dysfunction in the central nervous system. The course will build upon knowledge acquired through prior studies of cell and molecular biology, general physiology and human anatomy, as we focus primarily on the central nervous system.",Health,Research,Course,English,"Brain,Neurological Disorders,Neurobiology,Neurology,","Leonard E. White, Ph.D.",4.9,"2,589 ",Approx. 71 hours to complete,Coursera
910,Inclusive Leadership: The Power of Workplace Diversity,https://www.coursera.org/learn/inclusiveleadership,"Do you want to promote diversity and inclusion? This course will empower and equip you to develop inclusive cultures where everyone feels valued and respected. You will learn how highly inclusive leaders from around the world use processes of social influence to interact effectively with individuals from a wide variety of backgrounds. You will deepen your understanding of the benefits of diversity. And, you will explore a wealth of perspectives and practices to help you to reap those benefits. ",Social Sciences,Education,Course,English,"Emotional Intelligence,self-awareness,inclusive leadership,Communication,Diversity (Business),",Brenda J. Allen,4.9,"1,701 ",Approx. 21 hours to complete,Coursera
938,Aspectos básicos del diseño de la experiencia del usuario,https://www.coursera.org/learn/aspectos-basicos-del-diseno-de-la-experiencia-del-usuario-ux,"Aspectos básicos del diseño de la experiencia del usuario (UX) es el primero de una serie de siete cursos mediante los cuales podrás acceder a las habilidades que necesitarás para postularte a trabajos de nivel básico relacionados con el diseño de UX. Los diseñadores de UX se centran en las interacciones de las personas con distintos productos, como sitios web, aplicaciones móviles y objetos físicos. Los diseñadores de UX hacen que esas interacciones cotidianas sean fáciles de usar, agradables y accesibles. Algunas de las tareas de un diseñador de UX de nivel básico podrían ser empatizar con los usuarios, definir las dificultades a las que se enfrentan, proponer soluciones de diseño, crear esquemas, prototipos y maquetas, y probar diseños para obtener comentarios. ",Computer Science,Design and Product,Course,Spanish,"Experiencia del usuario (UX),Esquema,Diseño de la experiencia del usuario (UXD),Investigación en UX,Prototipo,",Google Career Certificates,4.9,"1,624 ",Approx. 20 hours to complete,Coursera
2029,Organisational design: Know your organisation,https://www.coursera.org/learn/organisational-design-know-your-organisation?specialization=hr-management-leadership,"How do you lead your organisation when today’s work environment is so competitive and complex? When you become responsible for leading an organisation, your most important leadership challenge will be enabling your organisation to deliver on its strategy while ensuring it remains sufficiently agile. This course will prepare you to tackle this challenge. You will examine what organisational culture is, the primary organisational structures, and what we mean by ‘systems’, before building on your foundational knowledge and taking a more strategic perspective. The structured learning activities that complement this course (video lectures, quizzes, discussion prompts and written assessments) will not only prepare you to take your organisation forward in a more strategic direction, but to make better decisions along the way.",Business,Leadership and Management,Course,English,"Value Chain,Organisational leadership,Organisational alignment,Change planning,",Professor Jaco Lok,4.9,"1,358 ",Approx. 19 hours to complete,Coursera
721,Convolutional Neural Networks,https://www.coursera.org/learn/convolutional-neural-networks,"In the fourth course of the Deep Learning Specialization, you will understand how computer vision has evolved and become familiar with its exciting applications such as autonomous driving, face recognition, reading radiology images, and more.",Data Science,Machine Learning,Course,English,"Deep Learning,Facial Recognition System,Convolutional Neural Network,Tensorflow,Object Detection and Segmentation,",Andrew Ng,4.9,"41,376 ",Approx. 36 hours to complete,Coursera
2762,Multi-Axis CNC Toolpaths,https://www.coursera.org/learn/multi-axis-cnc-toolpaths?specialization=autodesk-cad-cam-manufacturing,"Computer Numerical Controlled machines, or CNC for short, can have a nearly endless number of options. Most machines today control tool motion in 3-axes, X, Y and Z, but can be upgraded to include a 4th or 5th axis as well, A and B. Additionally, there are many machines on the market that are already 5-axis capable. The good news is that Autodesk® Fusion 360™ has you covered if you need to control multi-axis positioning or simultaneous motion in all 5 axes at once!",Physical Science and Engineering,Mechanical Engineering,Course,English,"Computer-aided manufaturing,Engineering,Manufacturing process,Autodesk Fusion 360,Mechanical Engineering,",Autodesk,4.9,101 ,Approx. 26 hours to complete,Coursera
1306,Why Smart Executives Fail: Common Mistakes & Warning Signs,https://www.coursera.org/learn/why-smart-executives-fail?specialization=strategic-leadership-impact-change-decision-making,"We don’t often talk about mistakes and failures, but there’s so much to learn from what goes wrong. In this course, Professor Sydney Finkelstein will teach you why leaders make mistakes, and what you can do to avoid making those same mistakes yourself. Using real-life examples of smart executives who failed, Professor Finkelstein will walk you through scenarios that prepare you to understand, manage, and even take advantage of the continuous change that is inevitable in organizations and in life.",Business,Leadership and Management,Course,English,"Learning from Failure,Strategic Leadership,Change Management,Leadership Development,Learning,",Sydney Finkelstein,4.9,133 ,Approx. 16 hours to complete,Coursera
2475,Project Management: Life cycle and project planning,https://www.coursera.org/learn/life-cycle-and-project-planning?specialization=project-management-tools-approaches-skills,"Project Management is a fundamental theme to understand and work in any business environments. One of the main skills that Project Managers need to have deals with the ability to manage the project during its entire life-cycle and to plan the work needed to achieve the final result. During the course, the various phases of a typical project are presented. Then, various practical tools are presented aiming to help professionals in actually manage their projects through useful instruments. Among the others, the Scope Statement helps managers in identifying and clearly define what is and what is not part of the project, the Work Breakdown Structure (WBS) helps in identifying the activities, the Organizational Breakdown Structure (OBS) in managing the team, the Responsibility Assignment Matrix (RAM) to match activities and people, while the Gantt Chart provides a time-based view on the project.",Business,Leadership and Management,Course,English,"Project Planning,Schedule (Project Management),Project Management Triangle,Scope (Project Management),Project Management,",Daniel Trabucchi,4.9,35 ,Approx. 5 hours to complete,Coursera
1732,Cloud Computing Law: Transactions,https://www.coursera.org/learn/cloud-computing-law-transactions?specialization=cloud-computing-law,"Have you ever wondered what’s in the small print of cloud contracts? Or who owns the information you upload to the cloud? And who can access and control it? If so, then this course is for you! You’ll learn to identify the legal risks involved in cloud computing transactions - and to suggest possible solutions.",Social Sciences,Law,Course,English,"Intellectual Property,Cybersecurity,Contract Negotiations,Contract Law,Cloud Computing,",Christopher Millard,4.9,25 ,Approx. 19 hours to complete,Coursera
699,"Brand Management: Aligning Business, Brand and Behaviour",https://www.coursera.org/learn/brand,"Professor Nader Tavassoli of London Business School contrasts traditional approaches to branding - where brands are a visual identity and a promise to customers - to brands as a customer experience delivered by the entire organisation. The course offers a brand workout for your own brands, as well as guest videos from leading branding professionals. ",Business,Entrepreneurship,Course,English,"Corporate Branding,Brand Marketing,Brand Management,Brand Identity,",Nader Tavassoli,4.9,"6,596 ",Approx. 17 hours to complete,Coursera
2054,Music Business Foundations,https://www.coursera.org/learn/music-business-foundations?specialization=business-music-production,"This course has been developed to provide students with the latest instruction on the best way for creators, consumers, and facilitators to navigate the resurgence of one of the world’s most exciting industries: the music business. Three things are clear about today’s music industry: The consumption of music is expanding at the greatest rate in history and from the most portals ever imagined, the cost of producing music is decreasing, and the number of artists creating and seeking to expose their work and develop careers through the Internet has increased dramatically. Whether you’re a music creator, consumer, or facilitator of this process, you’ll want to understand the history, underpinnings, and basics of the music business. Course author John Kellogg—administrator, educator, entertainment lawyer, performer, and radio and television personality—offers students the opportunity to learn the fundamental principles of the developing new music business, for now and into the future.",Arts and Humanities,Music and Art,Course,English,"Music business,Revenue streams,Teambuilding,Copyright,Contracts,","John P. Kellogg, Esq.",4.9,"2,473 ",Approx. 12 hours to complete,Coursera
2348,Superbosses: Managing Talent & Leadership,https://www.coursera.org/learn/superbosses?specialization=strategic-leadership-impact-change-decision-making,"How can a company thrive for the long term? It always comes down to people: finding talented people, retaining those people, and doing it continuously. In this course, Professor Sydney Finkelstein will teach participants how to support and leverage their biggest asset, the people around them. By learning to find world-class talent and help them move forward in their career, you will learn to build success for your organization and yourself. Using examples like the NFL’s Bill Walsh, the Slow Food Movement’s Alice Waters, and fashion’s Ralph Lauren, Professor Finkelstein shows that superbosses can be found across industries and up and down the org chart—and teaches us to find the superboss within.",Business,Leadership and Management,Course,English,"People Development,Influencing,Leadership And Management,Leadership Development,Growth Strategies,",Sydney Finkelstein,4.9,46 ,Approx. 17 hours to complete,Coursera
973,Bugs 101: Insect-Human Interactions,https://www.coursera.org/learn/bugs-101,"Of all the animals on earth, which are the strongest for their size? What about the fastest? Who were the first animals to evolve flight? Insects take all of these titles and more! As the most abundant animals on the planet, insects and other arthropods affect our lives in so many ways. From beneficial interactions like pollination and biological pest control, to the transmission of life threatening diseases; this course will teach you about the big ways that these little arthropods impact our lives. ",Health,Basic Science,Course,English,"Biology,Entomology,Science,Ecology,",Dr. Maya Evenden,4.9,"1,256 ",Approx. 49 hours to complete,Coursera
114,Business Data Management and Communication Specialization,https://www.coursera.org/specializations/business-data-management-communication,"Discover and discern the value of information. Learners will be able to work with data, obtain valuable information, and gauge its economic utility. ",Data Science,Data Analysis,Specialization,English,"Asset Management, Business Analytics, Financial Accounting, Data Analysis, Rstudio, Accounting, Accrual, Financial Statement, Cash Flow, Cash Flow Statement, Analytics, Health Care, ","Oktay Urcan ,Kevin Hartman ,Ronald Guymon ,Ashish Khandelwal ,Douglas B. Laney ,",4.9,32 ,Approximately 6 months to complete,Coursera
709,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,https://www.coursera.org/learn/negotiation,"This course will help you be a better negotiator. Unlike many negotiation courses, we develop a framework for analyzing and shaping negotiations. This framework will allow you to make principled arguments that persuade others. It will allow you to see beneath the surface of apparent conflicts to uncover the underlying interests. You will leave the course better able to predict, interpret, and shape the behavior of those you face in competitive situations.",Business,Business Essentials,Course,English,"Game Theory,Negotiation,Collaboration,Principled Negotiation,",Barry Nalebuff,4.9,"4,548 ",Approx. 33 hours to complete,Coursera
2344,Private Cloud Management on IBM Power Systems,https://www.coursera.org/learn/private-cloud-ibm-power-systems?specialization=linux-private-cloud-administration-power-systems,"IBM PowerVC, an Infrastructure as a Service (IaaS) enabling software, provides a self-service cloud console for managing IBM Power Systems. It is built on OpenStack. OpenStack is a collection of open-source software projects that enterprises can use to run their own private cloud infrastructure.",Information Technology,Cloud Computing,Course,English,"IBM PowerVC,infrastructure as a service,Openstack,Cloud Computing,IBM Cloud,",Bill Miller,4.9,50 ,Approx. 13 hours to complete,Coursera
965,In the Studio: Postwar Abstract Painting,https://www.coursera.org/learn/painting,"Want to know how some of the 20th century’s most celebrated artists made abstract paintings? This course offers an in-depth, hands-on look at the materials, techniques, and thinking of seven New York School artists, including Willem de Kooning, Yayoi Kusama, Agnes Martin, Barnett Newman, Jackson Pollock, Ad Reinhardt, and Mark Rothko. Through studio demonstrations and gallery walkthroughs, you’ll form a deeper understanding of what a studio practice means and how ideas develop from close looking, and you’ll gain a sensitivity to the physical qualities of paint. Readings and other resources will round out your understanding, providing broader cultural, intellectual, and historical context about the decades after World War II, when these artists were active.",Arts and Humanities,Music and Art,Course,English,"Art History,Art,History,Color Theory,",Alex Roediger,4.9,"1,373 ",Approx. 26 hours to complete,Coursera
962,The Horse Course: Introduction to Basic Care and Management,https://www.coursera.org/learn/horse-care,"There are over 100 million horses, donkeys and mules in the world today and owners of these animals can be found on almost every continent and in almost every society.  The Horse Course will cover many unique aspects of equine ownership and touch upon the science behind many of today’s management practices.",Health,Animal Health,Course,English,"Disease Management,Nutrition,Animal Behavior,Vital Signs,","Chris J. Mortensen, Ph.D.",4.9,883 ,Approx. 18 hours to complete,Coursera
2035,Decentralized Finance (DeFi) Deep Dive,https://www.coursera.org/learn/decentralized-finance-deep-dive-duke?specialization=decentralized-finance-duke,"DeFi and the Future of Finance is a set of four courses that focus on decentralized finance. The third course is called DeFi Deep Dive. It is essential that you do the first two courses I. DeFi Infrastructure and II. DeFi Primitives before doing this course. It is the longest of the four courses and focuses on some of the leading protocols in the DeFi space. We will look at Credit and Lending (and feature MakerDAO, Compound and Aave), Decentralized Exchange with an analysis of how protocols like Uniswap and Balancer works, Derivatives (featuring Yield Protocol, dYdX and Synthetix) and Tokenization with an analysis of Set Protocol as well as wrapped bitcoin. For many of these leading protocols, we include detailed examples of how the mechanics work. For example, we show how to use a dYdX flash swap to execute an arbitrage transaction (take advantage of different prices on different exchanges for the same asset).",Business,Finance,Course,English,"Set Protocol’s tokenization method,Mechanics of Compound and Aave,dYdX’s derivatives implementation,Proficiency with MakerDAO,Constant function Automated Market Makers,",Cam Harvey,4.9,230 ,Approx. 7 hours to complete,Coursera
